,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2,residuals_x,residuals_y,residuals_z
0,1,-0.11521163476505701,4.535462935747616e-08,-1.2031542165600041e-11,-0.11520676513284676,-0.000931128681420471,3.03518459175506e-05,-0.1152067176569335,0.001979359894797108,-3.133052040968972e-05,8.875185232774812e-21,6.552814873834948e-05,4.7105959952224465e-05
1,2,-0.0029780837809641105,1.1110690435747609e-05,-2.90651900484829e-08,-0.002978083916648371,-7.24173848881049e-06,-4.248757029558531e-09,-0.00297808372530773,-5.6373150458080474e-05,3.328662624121269e-08,9.940446163246405e-13,3.307209597277938e-14,9.156482856772229e-12
2,3,-0.004997206095493188,2.2987901890003257e-05,-7.437351071705862e-08,-0.004997206641498817,-1.6819482815307946e-05,-1.7868841348018963e-08,-0.004997205717564801,-9.328018445101432e-05,9.212964370072113e-08,9.637769639842872e-12,3.204384461210493e-13,6.30470937800156e-11
3,4,-0.009599770165468148,5.687170220149032e-05,-2.2750575486156407e-07,-0.009599772608242947,-5.0897215703694785e-05,-1.1601998820407513e-07,-0.00959976552512322,-0.00017295809656302723,3.42923771749163e-07,1.1256732789906144e-10,1.1633776102015984e-12,6.435220973039315e-10
4,5,-0.021813603198215306,0.00014807744396869908,-3.8766608938413773e-07,-0.021813574717531814,-0.00022315149275474986,-1.4022611538199077e-06,-0.021813518044361453,-0.00035043122010656514,1.7847086019908407e-06,7.382711057182277e-10,7.87284058079886e-09,4.005190408519691e-09
5,6,-0.036988509791039306,-1.0080426957915081e-07,1.5218598024922586e-06,-0.0369881970452863,-0.0005816792358176298,-6.3003264792698245e-06,-0.036988334492740006,-0.0005073376083086033,4.717382755982185e-06,1.3289555032518774e-11,7.090437748221611e-07,1.45363021279321e-09
6,7,-0.021778708710710887,-0.00014809175044232424,-3.8772496412583526e-07,-0.02177868023020987,-0.0002230570188651082,-1.4021010489025738e-06,-0.021778623556929094,-0.0003497604445331089,1.784607408667155e-06,7.382605129214929e-10,7.872258851365356e-09,4.003964695728364e-09
7,8,-0.009564153975735758,-5.6869954175992044e-05,-2.2755354556627339e-07,-0.009564156418666666,-5.080521506963312e-05,-1.1587311539695269e-07,-0.009564149335476604,-0.00017227329929684525,3.4282471920922975e-07,1.1257740882860322e-10,1.1694073575033158e-12,6.430391249162147e-10
8,9,-0.004962952073902249,-2.2974395948084674e-05,-7.440553525181267e-08,-0.004962952620023408,-1.673673764119467e-05,-1.7747373294538406e-08,-0.00496295169606255,-9.262137301880509e-05,9.204022043467436e-08,9.64116536847492e-12,3.228133664034267e-13,6.29105368579575e-11
9,10,-0.00294656526449323,-1.1090182543816279e-05,-2.908200850285405e-08,-0.0029465654002533473,-7.171584456082541e-06,-4.1559205325872935e-09,-0.00294656520891721,-5.5766731345634234e-05,3.321062051139947e-08,9.9498528715459e-13,3.358435479518072e-14,9.112237503398729e-12
10,11,-0.11521163476505698,4.535462935714256e-08,-1.203154269837053e-11,-0.11520676513284665,0.0009311286814204708,3.03518459175506e-05,-0.11520671765693342,0.001979359894797108,-3.133052040968972e-05,8.87517755741858e-21,6.55281487383495e-05,4.710595995222363e-05
11,12,-0.0029780837809641105,1.111069043574763e-05,-2.90651900484829e-08,-0.002978083916648373,7.2417384888104304e-06,-4.248757029558531e-09,-0.002978083725307729,-5.6373150458080474e-05,3.328662624121269e-08,9.940446162451143e-13,3.30720959757245e-14,9.15648285667787e-12
12,13,-0.00499720609549319,2.2987901890003288e-05,-7.437351071702474e-08,-0.0049972066414988225,1.6819482815307987e-05,-1.7868841348002022e-08,-0.004997205717564801,-9.328018445101436e-05,9.212964370070758e-08,9.637769639908712e-12,3.2043844608604085e-13,6.304709378014416e-11
13,14,-0.00959977016546815,5.687170220149039e-05,-2.275057548615302e-07,-0.009599772608242947,5.08972157036948e-05,-1.1601998820407513e-07,-0.00959976552512322,-0.0001729580965630272,3.42923771749163e-07,1.1256732789913454e-10,1.1633776102878742e-12,6.435220973031633e-10
14,15,-0.021813603198215306,0.00014807744396869914,-3.8766608938413773e-07,-0.021813574717531772,0.00022315149275475051,-1.4022611538197722e-06,-0.021813518044361456,-0.0003504312201065651,1.7847086019908407e-06,7.382711057179061e-10,7.872840580815386e-09,4.0051904085190864e-09
15,16,-0.036988509791039306,-1.0080426957916437e-07,1.5218598024922586e-06,-0.03698819704528634,0.0005816792358176296,-6.3003264792698245e-06,-0.036988334492740006,-0.0005073376083086035,4.717382755982185e-06,1.3289555032527419e-11,7.090437748221053e-07,1.453630212792463e-09
16,17,-0.02177870871071088,-0.00014809175044232424,-3.8772496412583526e-07,-0.021778680230209846,0.00022305701886510834,-1.4021010489024925e-06,-0.021778623556929094,-0.0003497604445331089,1.784607408667155e-06,7.382605129219144e-10,7.872258851373919e-09,4.003964695729003e-09
17,18,-0.009564153975735758,-5.686995417599201e-05,-2.2755354556630727e-07,-0.009564156418666666,5.080521506963308e-05,-1.1587311539691881e-07,-0.009564149335476604,-0.00017227329929684528,3.4282471920922975e-07,1.1257740882834147e-10,1.169407357456147e-12,6.430391249181168e-10
18,19,-0.004962952073902251,-2.2974395948084663e-05,-7.440553525179573e-08,-0.0049629526200234055,1.6736737641194688e-05,-1.7747373294538406e-08,-0.004962951696062547,-9.26213730188051e-05,9.20402204346608e-08,9.641165368477275e-12,3.2281336640304413e-13,6.29105368577935e-11
19,20,-0.00294656526449323,-1.1090182543816277e-05,-2.908200850285405e-08,-0.002946565400253344,7.171584456082538e-06,-4.1559205325872935e-09,-0.002946565208917209,-5.5766731345634275e-05,3.321062051139269e-08,9.949852871197791e-13,3.3584354797101794e-14,9.112237503324145e-12
20,r,-0.37825484125663955,-2.469576443428728e-08,5.293555446832281e-11,-0.378266373593447,2.690176640479658e-18,-5.40296381298307e-05,-0.37826647547494985,-6.532274142132563e-05,5.6346019757861965e-05,2.793780160270633e-20,1.0485713865945148e-06,0.0002674643004604251
21,gnd,-0.03400720396592544,5.167364085353107e-09,-1.2919455243992583e-07,-0.034007204255872434,-2.8680006198438576e-20,-1.0833740021555995e-08,-0.03400720389376211,-0.0006522563805949016,1.3996902645816225e-07,5.780876340509242e-16,3.0856339688314323e-18,1.7459724672247487e-10
